title,year
IU 5th Album 'LILAC',https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F005%2F211%2F5211473.jpg%3Ftype%3Dr204Fll%26v%3D20210530230521,2021.03.25
I-LAND Part 1 Signal Song,https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F004%2F600%2F4600362.jpg%3Ftype%3Dr204Fll%26v%3D20210530093516,2020.06.19
에잇,https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F004%2F550%2F4550593.jpg%3Ftype%3Dr204Fll%26v%3D20210303143526,2020.05.06
사랑의 불시착 OST Part 11,https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F004%2F448%2F4448098.jpg%3Ftype%3Dr204Fll%26v%3D20210303130024,2020.02.15
첫 겨울이니까,https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F003%2F719%2F3719484.jpg%3Ftype%3Dr204Fll%26v%3D20210303124023,2019.12.09
IU 5th Album 'LILAC',https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F005%2F211%2F5211473.jpg%3Ftype%3Dr204Fll%26v%3D20210530230521,2021.03.25
I-LAND Part 1 Signal Song,https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F004%2F600%2F4600362.jpg%3Ftype%3Dr204Fll%26v%3D20210530093516,2020.06.19
에잇,https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F004%2F550%2F4550593.jpg%3Ftype%3Dr204Fll%26v%3D20210303143526,2020.05.06
사랑의 불시착 OST Part 11,https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F004%2F448%2F4448098.jpg%3Ftype%3Dr204Fll%26v%3D20210303130024,2020.02.15
첫 겨울이니까,https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F003%2F719%2F3719484.jpg%3Ftype%3Dr204Fll%26v%3D20210303124023,2019.12.09
Love poem,https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F003%2F399%2F3399860.jpg%3Ftype%3Dr204Fll%26v%3D20210530010527,2019.11.18
삐삐,https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F002%2F559%2F2559408.jpg%3Ftype%3Dr204Fll%26v%3D20210303102523,2018.10.10
꽃갈피 둘,https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F002%2F188%2F2188308.jpg%3Ftype%3Dr204Fll%26v%3D20210303091019,2017.09.22
Palette,https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F002%2F000%2F2000240.jpg%3Ftype%3Dr204Fll%26v%3D20210303080517,2017.04.21
사랑이 잘,https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F001%2F963%2F1963893.jpg%3Ftype%3Dr204Fll%26v%3D20210303080017,2017.04.07
밤편지,https://search.pstatic.net/common?type=ofullfill&size=91x91&quality=100&direct=true&src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F001%2F855%2F1855408.jpg%3Ftype%3Dr204Fll%26v%3D20210303075516,2017.03.24
